Avg Cut Size,MLS,ILS-[10],ILS-[20],ILS-[30],ILS-[40],ILS-[50],ILS-[56],ILS-[60],ILS-[65],ILS-[70],ILS-[80],ILS-[90]
27.8,1.0,0.3052974905226784,0.12010427029716879,0.00017265399688226737,0.00017761066068896377,0.00016876301932954214,0.00017363703392015122,0.00017167508717120294,0.00016399116127605647,0.00016399116127605647,0.00017561553104590864,0.00017167508717120294
27.0,-,1.0,0.3423341931641406,0.0003130702892838701,0.00020870775462435192,0.00017167508717120294,0.000176611011668935,0.00017462420855219273,0.00016684208918172868,0.00016684208918172868,0.00017861448837368167,0.0005394660017758296
23.2,-,-,1.0,0.006302132190983285,0.003151445071291205,0.00023312740694000675,0.0003213757749335788,0.00023697365833985574,0.0002617474576670727,0.00040768153187022946,0.001132353631503509,0.016633128686171336
14.1,-,-,-,1.0,0.44694541570190294,0.0010793560962120354,0.0034115913937250043,0.0006179046755768335,0.0012021656751553002,0.0008648950233248653,0.09993700100643782,0.5374442725444728
12.8,-,-,-,-,1.0,0.01344793372551685,0.06252435819712283,0.007842479605081144,0.06142853641266046,0.05201380545531487,0.5948953826127479,0.22349351238167292
7.6,-,-,-,-,-,1.0,0.2186958501328773,0.8171160226052456,0.04155137524869756,0.21473088967439147,0.014642687184456585,0.0008190475434259343
8.1,-,-,-,-,-,-,0.2664652843132672,0.3145823694909422,0.12285196815582011,0.21581724766669086,0.008670401574689315,0.00022309383572921047
9.1,-,-,-,-,-,-,1.0,0.0925449524012395,0.6443607734396007,0.9693268566632478,0.07991317509998398,0.0020612111948952135
9.1,-,-,-,-,-,-,-,0.019761027073780437,0.4817694211134741,1.0,0.016395660570139938,0.00019266291496413434
7.2,-,-,-,-,-,-,-,1.0,0.04131361470554678,0.11659093345446375,0.0077955626538795866,0.00046343733930554273
9.5,-,-,-,-,-,-,-,-,1.0,0.6731485636901662,0.07876327371547452,0.0008003865951178777
8.8,-,-,-,-,-,-,-,-,-,1.0,0.04186888707780361,0.0003676845932217183
11.5,-,-,-,-,-,-,-,-,-,-,1.0,0.03528396653775907
15.0,-,-,-,-,-,-,-,-,-,-,-,1.0
